哀兵必胜 骄兵必败
崇高 高尚
崇敬 崇拜
宠爱 溺爱
抽剥 剥削
抽泣 抽咽
抽象 形象
抽咽 抽泣
抽烟 吸烟
抽噎 抽泣
仇敌 仇人
仇敌 寇仇
仇恨 冤仇
仇恨 痛恨
仇人 仇敌
仇视 敌视
仇隙在心 中怀怨恨
愁眉苦脸 愁眉不展
愁眉苦脸 春风得意
愁眉苦脸 春风满面
愁闷 忧郁
稠密 浓密
筹办 筹备
筹备 准备
筹措 张罗
筹划 谋划
筹划 计划
酬报 酬谢
酬谢 酬报
踌躇 迟疑
踌躇不前 迎头赶上
雠正 厘正
丑恶 丑陋
丑陋 丑恶
臭名远扬 臭名昭著
臭名昭著 臭名远扬
臭名昭著 如雷贯耳
出产 生产
出错 犯错
出顶 召盘
出发 动身
出发点 起点
出阁之喜 于归之喜
出乎意料 出其不意
出口成章 下笔成章
出类拔萃 超群绝伦
出类拔萃 鹤立鸡群
出路 前途
出卖 出售
出面 露面
出面 出头具名
出名 闻名
出名 有名
出名 知名
出名 著名
出其不意 出人意料
出勤 缺勤
出缺 有缺
出人意料 出乎意料
出色 杰出
出色 精彩
出身 出生
出神 走神
出神入化 炉火纯青
出神入化 炉火纯青
出生 诞生
出生 出身
出生入死 赴汤蹈火
出生入死 南征北战
出世 降生
出事 失事
出售 出卖
出售 发售
出售 销售
出头具名 出面
出头露面 抛头露面
出息 长进
出席 缺席
出险 脱险
出现 呈现
出现 涌现
出言如山 一言九鼎
出走 出奔
初版 第一版
初春 早春
初次 首次
初级 低级
初赛 预赛
除暴安良 吊民伐罪
除污去垢 荡瑕涤秽
除夕 大年节
锄强扶弱 振弱除暴
储备 贮备
储藏 蕴藏
储存 贮存
楚楚可怜 我见犹怜
处罚 处分
处分 处罚
处理 处置
处女 童贞
处死 正法
处所 地方
处心积虑 空心思
处置 处理
触犯 冲撞
触及 涉及
触类旁通 举一反三
触目惊心 惊心动魄
矗立 耸立
揣测 揣摩
揣摩 琢磨
揣想 悬想
啜泣 抽泣
穿插 交叉
穿戴 穿着
穿越 穿梭
穿着 衣着
穿着 穿戴
传播 传布
传播 流传
传布 传播
传达 转达
传染 沾染
传送 传递
传闻 风闻
疮痍满目 锦绣河山
床笫 枕席
创办 开办
创建 创立
创立 创建
创始 开创
创新 翻新
创新 立异
创造 发明
吹打 奏乐
吹糠见米 立杆见影
吹糠见米 立竿见影
吹毛求疵 求全责备
吹捧 吹嘘
吹箫吴市 沿门托钵
吹嘘 吹捧
吹奏 演奏
垂垂 渐渐
垂怜 怜爱
垂死挣扎 负隅顽抗
垂死挣扎 狗急跳墙
垂死挣扎 困兽犹斗
垂死挣扎 狗急跳墙
垂头丧气 没精打采
垂涎欲滴 垂涎三尺
垂馨千祀 流芳百世
锤炼 锻炼
春风 东风
春光 春景
春花秋月 月下花前
春秋 年龄
春色 春光
纯粹 纯洁
纯洁 纯粹
纯净 污浊
纯熟 熟练
纯真 纯挚
纯真 纯粹
纯正 纯粹
纯挚 纯真
唇红齿白 朱唇皓齿
淳厚 浑厚
淳朴 浑厚
蠢笨 笨拙
戳穿 揭穿
绰约多姿 千姿百态
词目 似义词
慈爱 慈祥
慈悲 慈善
慈善 慈悲
慈善 慈祥
慈善家 善士
慈祥 慈爱
辞别 告别
辞退 解雇
辞意 文意
此岸 彼岸
此后 尔后
次第 次序
次日 越日
次序 顺序
次序 顺序
刺耳 逆耳
刺耳 难听
刺目 刺眼
刺探 打探
刺眼 扎眼
刺眼 耀眼
刺眼 刺目耀眼
刺眼 刺目
刺眼 耀眼
赐给 赏给
赐给 赏给
赐赉 赐予
赐予 赐赉
赐与 给以
从军 参军
从来 素来
从容不迫 不慌不忙
从容不迫 慌慌张张
从容不迫 慢条斯理
从容不迫 七上八下
从容不迫 神色自若
从容不迫 心急如火
从容不迫 不迟不疾
从属 附属
匆匆 促
匆促 仓促
匆忙 匆仓促
匆忙 急忙
葱翠 葱茏
葱茏 葱郁
葱郁 葱茏
聪慧 聪明
聪明 聪慧
聪颖 伶俐
丛集 猬集
凑合 对付
凑合 将就
凑集 聚集
粗暴 粗鲁
粗笨 笨重
粗笨 笨重
粗鄙 粗俗
粗糙 毛糙
粗糙 粗拙
粗茶淡饭 家常便饭
粗犷 粗暴
粗犷 粗豪
粗陋 简陋
粗鲁 粗暴
粗浅 浅显
粗俗 粗鄙
粗心 大意
粗心 马虎
粗心大意 粗枝大叶
粗心大意 马马虎虎
粗枝大叶 粗心大意
粗拙 粗糙
促进 增进
簇新 崭新
簇拥 蜂拥
窜改 篡改
篡夺 夺取
篡改 改动
催促 督促
催讨 追讨
摧残 残害
摧毁 捣毁
摧枯拉朽 不堪一击
璀璨 残暴
脆弱 懦弱
脆弱 软弱
翠绿 葱绿
翠绕珠围 珠光宝气
村夫 乡人
村庄 村落
村子 村庄
存案 备案
存放 寄存
存心 居心
寸步难行 举步维艰
寸男尺女 一男半女
磋商 商量
撮合山 月老祠
措施 办法
错误 过错
错误 毛病
错综复杂 盘根错节
搭档 错误
搭救 打救
搭救 陷害
达到 到达
达官贵人 王侯将相
答案 谜底
答辩 问难
答复 回答
答谢 报答
答应 许可
答应 允许
答应 准许
答应 允许
答应 允许
打败 战胜
打扮 装扮
打扮 装束
打动 感动
打盹 瞌睡
打盹儿 瞌睡
打狗不看主人面 罔顾情面
打坏 打碎
打坏 打碎
打搅 打扰
打搅 打扰
打搅 打扰
打搅 打扰
打开 翻开
打量 端详
打破 攻破
打扰 打搅
打扫 扫除
打算 盘算
打碎 打坏
打听 探听
打通 买通
打消 消除
打针 注射
大步流星 健步如飞
大材小用 牛鼎烹鸡
大肠告小肠 饥肠辘辘
大吹大擂 自吹自擂
大胆 勇敢
大刀阔斧 大马金刀
大发雷霆 暴跳如雷
大方 慷慨
大腹便便 脑满肠肥
大概 大略
大概 或许
大纲 纲要
大纲 提纲
大公 至公
大公无私 铁面无私
大功告成 功败垂成
大海捞针 海底捞针
大海捞针 水中捞月
大海捞针 铁树开花
大惑不解 百思不解
大惑不解 百思不解
大街 大巷
大惊小怪 少见多怪
大军 雄师
大快人心 皆大欢喜
大快人心 拍手称快
大礼服 燕尾服
大力 鼎力
大力 鼎力
大量 大批
大马金刀 大刀阔斧
大骂 痛骂
大名鼎鼎 赫赫有名
